GEO.id,GEO.id2,GEO.display-label,total,no_schooling,nursery_school,kindergarten,1st_grade,2nd_grade,3rd_grade,4th_grade,5th_grade,6th_grade,7th_grade,8th_grade,9th_grade,10th_grade,11th_grade,12th_grade_no_diploma,high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",3556,93,14,0,0,0,0,0,0,0,0,33,0,32,16,79,441,85,117,386,358,1122,521,188,71
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",4155,0,0,0,0,0,15,0,0,0,0,33,18,110,20,34,472,100,245,536,310,1301,760,64,137
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",1986,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,132,9,167,287,58,836,270,121,81
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",3358,11,0,0,0,0,0,0,0,0,0,0,0,1,0,6,209,76,137,442,223,1225,690,253,85
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",3095,0,0,0,0,0,0,0,0,0,0,0,0,2,43,13,179,11,179,266,295,1360,560,102,85
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",3772,75,0,0,0,0,0,0,0,0,0,0,25,14,0,17,333,43,173,460,447,1607,497,44,37
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",3763,69,0,0,0,0,0,45,0,16,0,17,0,0,0,40,194,0,74,413,460,1669,565,61,140
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",3539,0,0,0,0,0,0,0,0,31,5,19,15,38,10,75,223,41,121,620,188,1324,579,141,109
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",2909,0,0,0,0,10,0,0,0,0,0,0,0,12,20,0,188,52,44,513,310,1028,587,74,71
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",3096,11,0,0,0,0,0,0,0,11,0,0,22,21,0,23,290,14,113,305,214,1137,562,141,232
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",4201,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,258,19,102,301,289,1223,1065,521,411
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",2321,0,0,0,0,0,0,0,0,0,0,29,0,0,10,9,55,0,45,283,174,841,564,141,170
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",2484,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,142,47,52,252,123,1042,493,133,180
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",3524,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,197,26,83,358,261,1391,748,205,254
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",4487,18,0,0,0,0,0,0,0,0,12,0,24,12,38,35,265,10,141,444,106,1786,985,323,288
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",3802,22,0,0,0,0,0,0,0,0,0,1,1,0,0,11,218,86,49,320,278,1668,673,345,130
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",3524,0,0,0,0,0,0,0,0,0,0,0,17,0,32,16,196,88,134,447,111,1310,864,212,97
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",4383,0,0,0,0,0,0,0,21,1,0,17,0,73,22,17,455,81,99,475,218,1795,762,242,105
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",4724,11,0,0,0,0,0,0,0,16,0,0,3,0,68,11,273,32,202,685,291,2054,777,170,131
